name
عبد الله بن عمرو بن العاص بن وائل بن هاشم بن سعيد بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤي بن غالب
الجارود ، يقال : اسمه بشر بن المعلى بن حنش ، ويقال : ابن العلاء ، ويقال : بشر بن عمرو بن حنش بن المعلى ، ويقال : ابن حنش بن النعمان
حيوة بن شريح بن صفوان بن مالك
دراج بن سمعان ، قيل : اسمه عبد الله ، وقيل : عبد الرحمن
عبد الرحمن بن جبير
عمارة بن عبد الله بن صياد
خالد بن زيد بن كليب بن ثعلبة بن عبد عمرو بن عوف بن غنم بم مالك بن النجار : وهو  تيم الله ، ابن ثعلبة بن الخزرج بن حارثة بن ثعلبة بن عمرو بن عامر بن حارثة بن امرئ القيس بن ثعلبة بن مازن بن الأزد بن الغوث بن نبت بن مالك بن زيد بن كهلان بن سبأ
إسرائيل بن يونس بن أبي إسحاق
جعفر بن الزبير
مسلم بن مشكم
عمرو بن غيلان بن سلمة
عبد الله بن مسعود بن غافل بن حبيب بن شمخ بن مخزوم ، ويقال : ابن شمخ بن فار بن مخزوم بن صاهلة بن كاهل بن الحارث بن تميم بن سعد بن هذيل بن مدركة بن إلياس بن مضر بن نزار بن معد بن عدنان
أحمد بن إسحاق بن أيوب بن يزيد
سليمان بن الأشعث بن إسحاق بن بشير بن شداد بن عمرو بن عمران ، وقيل : سليمان بن الأشعث بن بشر بن شداد ، وقيل : سليمان بن الأشعث بن  شداد بن عمرو بن عامر
أحمد بن محمد بن أحمد بن محمد بن أبي خلف
سفيان بن عيينة بن أبي عمران : ميمون
أبو سلمة بن عبد الرحمن بن عوف بن عبد عوف بن الحارث بن زهرة بن كلاب بن مرة بن كعب بن لؤي بن غالب ، قيل : اسمه عبد الله ، وقيل : إسماعيل ، وقيل : اسمه وكنيته واحد
محمد بن الحسين بن محمد بن موسى
أحمد بن علي بن الحسن بن شاذان
محمد بن عيسى بن سورة بن موسى بن الضحاك ، وقيل : محمد بن عيسى بن يزيد بن سورة بن السكن
أحمد بن سعيد بن إبراهيم
يزيد بن هارون بن زاذي ، ويقال : زاذان بن ثابت  .
القاسم بن أبي المنذر : أحمد بن محمد بن أحمد بن منصور
علي بن إبراهيم بن سلمة بن بحر
محمد بن ماجه : يزيد
أحمد بن عبد الله بن ميمون بن العباس بن الحارث ، ابن أبي الحواري
مروان بن محمد بن حسان
سعيد بن محمد بن أحمد بن جعفر
الحسن بن أحمد بن صالح
عبد الله بن محمد بن ناجية بن نجبة
الحسن بن عبد العزيز بن الوزير بن ضابئ بن مالك بن عامر بن عدي بن حمرس بن نفر بن نصر بن عدي بن القاطع بن جري بن عوف بن أسود بن تزود بن حشم بن جذام
عبد الرحمن بن مهدي بن حسان بن عبد الرحمن
حميد بن الأسود بن الأشقر
الضحاك بن عثمان بن عبد الله بن خالد بن حزام
محمد بن عبد الرحمن بن حارثة بن النعمان ، ويقال : محمد بن عبد الرحمن بن عبد الله بن حارثة بن النعمان بن يفع بن زيد بن عبيد بن ثعلبة بن غنم بن مالك بن النجار
سعيد بن المسيب بن حزن بن أبي وهب بن عمرو بن عائذ بن عمران بن مخزوم
سعيد بن أبي عروبة : مهران
حماد بن أبي سليمان : مسلم
المغيرة بن أبي بردة ، ويقال : ابن عبد الله بن أبي بردة ، ويقال : عبد الله بن المغيرة بن أبي بردة  .
أبو بردة بن عبد الله
الحسن بن أحمد بن محمد بن الحسن بن علي بن مخلد بن شيبان
محمد بن إسحاق بن إبراهيم بن مهران بن عبد الله
عبد الأعلى بن حماد بن نصر
عبد الرحمن بن أبي الزناد : عبد الله بن ذكوان
زيد بن ثابت بن الضحاك بن زيد بن لوذان بن عمرو بن عبد عوف بن غنم بن مالك بن النجار
محمد بن يزيد بن خنيس
عبد العزيز بن أبي رواد : ميمون ، وقيل : أيمن ، وقيل : أيمن بن بدر
عبد الله بن عمر بن الخطاب
عائشة بنت أبي بكر الصديق
عبد الله بن محمد بن زياد بن واصل بن ميمون
